2025-12-13 23:51:41.780 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.781 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (170) from balance of Кира. Current balance: 177887
2025-12-13 23:51:41.781 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(170) to balance of Боба (Goose)
2025-12-13 23:51:41.781 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 170 from each player
2025-12-13 23:51:41.781 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Буба-Боба-Буба-Биба (hp=270), honk_volume=15
2025-12-13 23:51:41.781 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Буба-Боба-Буба-Биба
2025-12-13 23:51:41.781 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Макс for 14 damage
2025-12-13 23:51:41.782 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Кира for 19 damage
2025-12-13 23:51:41.782 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (19) from balance of Кира. Current balance: 177868
2025-12-13 23:51:41.782 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(19) to balance of Биба (Goose)
2025-12-13 23:51:41.782 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Олег for 8 damage
2025-12-13 23:51:41.783 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Боба-Буба-Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба-Боба-Буба-Буба-Боба-Буба-Буба (hp=1510), honk_volume=88
2025-12-13 23:51:41.783 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Боба-Буба-Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба-Боба-Буба-Буба-Боба-Буба-Буба
